Country;Real coffee;Tea;Biscuits;Powder soup;Potatoes;Frozen fish;Frozen veggies;Apples;Oranges;Jam;Garlic;Butter;Margarine;Olive oil;Yoghurt;Crisp bread
Germany;90;88;57;51;21;27;21;81;75;71;22;91;85;74;30;26
Italy;82;60;55;41;2;4;2;67;71;46;80;66;24;94;5;18
France;88;63;76;53;23;11;5;87;84;45;88;94;47;36;57;3
Holland;96;98;62;67;7;14;14;83;89;81;15;31;97;13;53;15
Belgium;94;48;74;37;9;13;12;76;76;57;29;84;80;83;20;5
Luxembourg;97;86;79;73;7;26;23;85;94;20;91;94;94;84;31;24
England;27;99;91;55;17;20;24;76;68;91;11;95;94;57;11;28
Portugal;72;77;22;34;5;20;3;22;51;16;89;65;78;92;6;9
Austria;55;61;29;33;5;15;11;49;42;41;51;51;72;28;13;11
Switzerland;73;85;31;69;17;19;15;79;70;61;64;82;48;61;48;30
Sweden;97;93;61;43;39;54;45;56;78;75;9;68;32;48;2;93
Denmark;96;92;66;32;11;51;42;81;72;64;11;92;91;30;11;34
Norway;92;83;62;51;17;30;15;61;72;51;11;63;94;28;2;62
Finland;98;84;64;27;8;18;12;50;57;37;15;96;94;17;21;64
Spain;70;40;62;43;14;23;7;59;77;38;86;44;51;91;16;13
Ireland;30;99;80;75;2;5;3;57;52;89;5;97;25;31;3;9
